afsd_h,frzmlt_h,sst_h
"0.09320183,0.013923378,0.00532453,0.0025385201,0.0013295915,0.0007297875,0.0003592224,0.00021460895,0.00012750411,9.6359836e-05,2.776663e-05,0.0004291921",2912.9216,-1.7996079
"0.093204394,0.013923994,0.005325803,0.0025401672,0.0013315713,0.00073199486,0.00036237875,0.00021709478,0.00012974284,9.8655095e-05,2.8416498e-05,0.00042156622",2870.722,-1.7995822
"0.09320861,0.013924883,0.005327295,0.0025420343,0.0013337889,0.00073445425,0.00036585648,0.00021983833,0.00013222522,0.000101259175,2.9040018e-05,0.00041317806",2830.0935,-1.7995452
"0.0932074,0.01392493,0.0053283316,0.0025435486,0.0013356758,0.00073658477,0.0003688828,0.00022223363,0.0001344056,0.000103593644,2.9514247e-05,0.00040580667",2794.807,-1.7995237
"0.09320931,0.013925399,0.005329321,0.0025448326,0.0013372183,0.0007383016,0.0003712894,0.00022413851,0.00013614229,0.00010547454,2.985494e-05,0.000399983",2766.1143,-1.799534
"0.09320841,0.013925391,0.0053298827,0.002545666,0.001338261,0.00073947996,0.00037295514,0.00022545902,0.00013734876,0.00010678641,3.0084346e-05,0.0003959206",2739.1587,-1.799547
"0.09320816,0.013925437,0.0053302743,0.0025462287,0.0013389607,0.00074027234,0.00037413242,0.00022638023,0.00013816387,0.00010754955,3.0441202e-05,0.00039306557",2713.772,-1.7995676
"0.093207866,0.013925466,0.0053306073,0.0025467132,0.0013395712,0.0007409738,0.0003753048,0.00022727331,0.00013889936,0.00010797336,3.1191863e-05,0.0003902442",2690.6497,-1.7996126
"0.09320822,0.01392559,0.005330971,0.0025472073,0.0013401806,0.00074166874,0.00037646145,0.0002281538,0.0001396237,0.00010838865,3.1936233e-05,0.0003874697",2673.5767,-1.799691
"0.09320841,0.013925685,0.0053313132,0.0025476804,0.0013407675,0.0007423391,0.00037757843,0.00022900426,0.00014032357,0.00010879048,3.2654425e-05,0.0003847881",2666.2732,-1.7998013
"0.09317694,0.013921037,0.005329772,0.002547185,0.0013407699,0.0007426096,0.00037832055,0.00022958913,0.0001408212,0.00010906677,3.3202414e-05,0.00038256857",2661.0444,-1.7999282
"0.093157776,0.013918225,0.00532892,0.002547006,0.0013409244,0.00074294955,0.0003790647,0.00023016785,0.0001413074,0.00010934023,3.372398e-05,0.00038051468",2655.7285,-1.8000603
"0.093206316,0.0139255505,0.005332059,0.0025488446,0.0013422614,0.00074406754,0.0003804818,0.0002312165,0.00014214544,0.00010983623,3.452556e-05,0.0003777822",2649.3782,-1.800189
"0.093206875,0.013925719,0.0053325053,0.0025494436,0.001342998,0.00074490625,0.00038187607,0.00023227787,0.00014301873,0.000110337984,3.54206e-05,0.0003744395",2652.2407,-1.8002869
"0.09320606,0.013925695,0.005332931,0.0025500876,0.0013438179,0.0007458519,0.00038346145,0.00023348565,0.00014401322,0.00011090892,3.6441572e-05,0.00037061854",2663.742,-1.8003658
"0.09320613,0.013925814,0.0053334692,0.0025508432,0.0013447593,0.0007469293,0.00038525864,0.00023485417,0.00014513955,0.000111555855,3.7596732e-05,0.00036630072",2676.1162,-1.8004439
"0.09320713,0.01392609,0.0053341384,0.0025517335,0.0013458508,0.00074817054,0.00038732044,0.00023642361,0.00014643077,0.00011229778,3.8919894e-05,0.00036136003",2687.9026,-1.8005185
"0.093207166,0.013926245,0.0053348714,0.002552766,0.0013471383,0.00074964465,0.0003897798,0.00023829642,0.00014797218,0.000113183094,4.050081e-05,0.0003554505",2700.3574,-1.8005822
"0.093207344,0.013926451,0.005335752,0.0025539983,0.001348673,0.00075140037,0.00039270768,0.00024052589,0.00014980708,0.000114237024,4.2382573e-05,0.0003484172",2727.757,-1.8006399
"0.093208015,0.013926752,0.005336767,0.002555394,0.0013504016,0.00075337396,0.00039599455,0.00024302841,0.00015186645,0.000115420036,4.449399e-05,0.0003405281",2753.489,-1.800701
"0.09319468,0.013924967,0.005337012,0.0025564514,0.0013519839,0.0007552993,0.0003993303,0.000245577,0.00015397096,0.00011662473,4.6668425e-05,0.00033232724",2776.7637,-1.8007632
"0.093186565,0.013923961,0.0053375536,0.0025576479,0.0013536374,0.0007572618,0.0004026799,0.00024813277,0.00015607874,0.000117832875,4.8839975e-05,0.0003241655",2798.7827,-1.8008198
"0.09320056,0.013926254,0.0053393417,0.0025594237,0.0013555776,0.0007593643,0.00040605877,0.00025069702,0.00015818203,0.000119045144,5.0980532e-05,0.00031623992",2834.8381,-1.800882
"0.09320884,0.013927693,0.005340788,0.002561022,0.0013574087,0.0007613905,0.00040936313,0.00025320807,0.0001602445,0.00012023223,5.3086023e-05,0.00030841437",2875.098,-1.8009623
"0.09320454,0.013927251,0.0053415243,0.00256229,0.001359076,0.0007633363,0.00041264953,0.00025571338,0.00016230874,0.00012141653,5.5208373e-05,0.00030045735",2910.764,-1.8010563
"0.09321638,0.01392921,0.0053431233,0.0025639136,0.0013608686,0.00076528813,0.00041579697,0.00025810272,0.00016426918,0.0001225461,5.7204983e-05,0.0002930581",2941.4377,-1.8011719
"0.09319858,0.013926705,0.0053428616,0.0025644945,0.0013619447,0.00076667184,0.00041827027,0.00025999735,0.00016583776,0.00012344163,5.8835063e-05,0.00028686784",2982.005,-1.8012959
"0.09317247,0.013922894,0.0053418092,0.002564403,0.0013623455,0.0007673529,0.00041964787,0.00026106279,0.00016672818,0.00012394514,5.9779497e-05,0.0002831954",3049.7205,-1.8014988
"0.0931494,0.013919451,0.005340501,0.0025637883,0.0013620334,0.0007671917,0.000419592,0.0002610347,0.00016671699,0.00012393174,5.9795548e-05,0.00028301",3119.09,-1.8018906
"0.09313443,0.013917174,0.0053394493,0.0025631029,0.0013614735,0.0007666779,0.00041887298,0.00026049657,0.00016628181,0.00012367725,5.936708e-05,0.00028453025",3190.7505,-1.802575
"0.09313071,0.013916679,0.005339536,0.0025634242,0.0013619479,0.0007672529,0.00041986676,0.0002612557,0.00016690853,0.00012403609,6.001434e-05,0.00028209042",3270.6267,-1.8038
"0.09310404,0.013912962,0.0053393063,0.0025645227,0.0013638447,0.0007696517,0.00042411571,0.000264508,0.00016959917,0.0001255734,6.280584e-05,0.00027151042",3396.0312,-1.8047302
"0.093208924,0.013929081,0.005347496,0.0025704794,0.0013692097,0.00077490276,0.0004319086,0.00027037645,0.00017437505,0.00012834815,6.757906e-05,0.0002542378",3539.5876,-1.8062009
"0.09309976,0.013913692,0.0053457282,0.0025738098,0.0013755191,0.00078305596,0.00044652127,0.00028157257,0.00018364652,0.00013364022,7.721876e-05,0.00021760965",3685.126,-1.8074863
"0.093056425,0.0139072575,0.005343444,0.0025728997,0.0013752382,0.00078310294,0.00044700003,0.00028196437,0.00018399137,0.00013382517,7.762419e-05,0.00021585842",3813.5996,-1.8081732
"0.092925265,0.013887,0.005332724,0.0025647758,0.0013676872,0.0007755725,0.00043564662,0.0002734011,0.00017701105,0.00012977635,7.062134e-05,0.0002413228",3882.9302,-1.809509
"0.09302915,0.013902156,0.005336885,0.0025651027,0.0013660457,0.000772809,0.00043007583,0.00026909367,0.00017341213,0.00012774073,6.6806046e-05,0.00025614988",3882.4482,-1.809509
"0.093012355,0.013899452,0.005334982,0.0025633147,0.0013641458,0.00077077636,0.0004268393,0.0002666396,0.00017140096,0.00012658052,6.476333e-05,0.0002636945",4729.5703,-1.8233076
"0.09309291,0.013911696,0.005340605,0.0025669483,0.0013670913,0.0007734639,0.0004305796,0.00026943724,0.00017366196,0.0001279035,6.698618e-05,0.00025582322",4729.364,-1.8233076
"0.092625596,0.013835261,0.005281778,0.0025090561,0.0013044102,0.0007061896,0.0003296251,0.00019168957,0.000107219596,7.560429e-05,2.219875e-05,0.00049300614",4841.9814,-1.7963057
"0.0926113,0.013835404,0.0052919583,0.002524038,0.0013230765,0.00072721456,0.00035856554,0.00021478285,0.00012865412,0.00010048913,2.3709055e-05,0.00042230706",4843.488,-1.7963057
"0.09294288,0.013884,0.005306375,0.0025267475,0.001320056,0.00072114443,0.00034816313,0.0002061881,0.000120332836,9.0217654e-05,2.3889083e-05,0.0004523261",4841.855,-1.7963057
"0.09292437,0.013881267,0.005305475,0.0025264618,0.0013200577,0.000721293,0.0003484387,0.00020643348,0.00012059964,9.0652546e-05,2.3716875e-05,0.00045138536",4841.518,-1.7963057
"0.09285666,0.013870594,0.0052989167,0.0025208632,0.001314495,0.0007156332,0.0003414031,0.00020082109,0.00011532761,8.4029816e-05,2.4213256e-05,0.00046762527",4840.946,-1.7963057
"0.09007705,0.013455542,0.0051410464,0.0024464435,0.0012764081,0.0006955999,0.00033275224,0.00019612911,0.00011325004,8.380443e-05,2.2454047e-05,0.00044974303",4855.31,-1.7963057
"0.0931664,0.013921272,0.005337974,0.0025593168,0.0013561178,0.00076027337,0.00040788992,0.0002521131,0.00015936563,0.000119716955,5.2231437e-05,0.000311366",4840.848,-1.7963057
"0.09134498,0.013648107,0.005228743,0.0025024086,0.0013210283,0.0007355891,0.00038353557,0.0002347097,0.00014598022,0.0001114649,4.070059e-05,0.0003446415",4850.4014,-1.7963057
"0.092366725,0.01380214,0.005293904,0.0025398142,0.0013475538,0.0007572699,0.00041026724,0.0002544253,0.00016168146,0.00012080272,5.55653e-05,0.0002945676",4667.643,-1.7968047
